"self_id","name","state_id"
282,"Червоноград",12
283,"Яворів",12
284,"Єланець",13
285,"Арбузика",13
286,"Баштанка",13
287,"Березанка",13
288,"Березнегувате",13
289,"Братське",13
290,"Веселинове",13
291,"Вознесенськ",13
292,"Врадіївка",13
293,"Доманівка",13
294,"Жовтневий район",13
295,"Казанка",13
296,"Коблево",13
297,"Криве Озеро",13
298,"Миколаїв",13
299,"Нова Одеса",13
300,"Новий Буг",13
301,"Очаків",13
302,"Первомайськ",13
303,"Снігурівка",13
304,"Южноукраїнськ",13
305,"Іванівка",14
306,"Ізмаїл",14
307,"Ананьїв",14
308,"Арциз",14
309,"Білгород-Дністровський",14
310,"Біляївка",14
311,"Балта",14
312,"Березівка",14
313,"Болград",14
314,"Велика Михайлівка",14
315,"Затока",14
316,"Кілія",14
317,"Кодима",14
318,"Комінтернівське",14
319,"Котовськ",14
320,"Красні Окни",14
321,"Любашівка",14
322,"Миколаївка",14
323,"Овідіополь",14
324,"Одеса",14
325,"Південне",14
326,"Рені",14
327,"Роздільна",14
328,"Саврань",14
329,"Сарата",14
330,"Тарутине",14
331,"Татарбунари",14
332,"Теплодар",14
333,"Фрунзівка",14
334,"Чорноморськ",14
335,"Ширяєве",14
336,"Велика Багачка",15
337,"Гадяч",15
338,"Глобине",15
339,"Горішні плавні",15
340,"Гребінка",15
341,"Диканька",15
342,"Зіньків",15
343,"Карлівка",15
344,"Кобеляки",15
345,"Козельщина",15
346,"Котельва",15
347,"Кременчук",15
348,"Лохвиця",15
349,"Лубни",15
350,"Машівка",15
351,"Миргород",15
352,"Нові Санжари",15
353,"Оржиця",15
354,"Пирятин",15
355,"Полтава",15
356,"Решетилівка",15
357,"Семенівка",15
358,"Хорол",15
359,"Чорнухи",15
360,"Чутове",15
361,"Шишаки",15
362,"Березне",16
363,"Вараш",16
364,"Володимирець",16
365,"Гоща",16
366,"Демидівка",16
367,"Дубно",16
368,"Дубровиця",16
369,"Зарічне",16
370,"Здолбунів",16
371,"Корець",16
372,"Костопіль",16
373,"Млинів",16
374,"Острог",16
375,"Рівне",16
376,"Радивилів",16
377,"Рокитне",16
378,"Сарни",16
379,"Білопілля",17
380,"Буринь",17
381,"Велика Писарівка",17
382,"Глухів",17
383,"Конотоп",17
384,"Краснопілля",17
385,"Кролевець",17
386,"Лебедин",17
387,"Липова Долина",17
388,"Недригайлів",17
389,"Охтирка",17
390,"Путивль",17
391,"Ромни",17
392,"Середина-Буда",17
393,"Суми",17
394,"Тростянець",17
395,"Шостка",17
396,"Ямпіль",17
397,"Бережани",18
398,"Борщів",18
399,"Бучач",18
400,"Гусятин",18
401,"Заліщики",18
402,"Збараж",18
403,"Зборів",18
404,"Козова",18
405,"Кременець",18
406,"Лановці",18
407,"Монастириська",18
408,"Підволочиськ",18
409,"Підгайці",18
410,"Теребовля",18
411,"Тернопіль",18
412,"Чортків",18
413,"Шумське",18
414,"Ізюм",19
415,"Балаклія",19
416,"Барвінкове",19
417,"Близнюки",19
418,"Богодухів",19
419,"Борова",19
420,"Валки",19
421,"Великий Бурлук",19
422,"Волчанськ",19
423,"Дворічанське",19
424,"Дергачі",19
425,"Зачепилівка",19
426,"Зміїв",19
427,"Золочів",19
428,"Кегичівка",19
429,"Коломак",19
430,"Красноград",19
431,"Краснокутськ",19
432,"Куп'янськ",19
433,"Лозова",19
434,"Люботин",19
435,"Нова Водолага",19
436,"Первомайський",19
437,"Печеніги",19
438,"Сахновщина",19
439,"Харків",19
440,"Чугуїв",19
441,"Шевченкове",19
442,"Іванівка",20
443,"Білозерка",20
444,"Берислав",20
445,"Велика Лепетиха",20
446,"Великая Александровка",20
447,"Верхний Рогачик",20
448,"Високопілля",20
449,"Генічеськ",20
450,"Гола Пристань",20
451,"Горностаївка",20
452,"Залізний Порт",20
453,"Каланчак",20
454,"Каховка",20
455,"Нижні Сірогози",20
456,"Нова Каховка",20
457,"Нововоронцовка",20
458,"Новотроїцьке",20
459,"Олешки",20
460,"Скадовськ",20
461,"Херсон",20
462,"Чаплинка",20
463,"Ізяслав",21
464,"Білогір'я",21
465,"Віньківці",21
466,"Волочиськ",21
467,"Городок",21
468,"Деражня",21
469,"Дунаєвці",21
470,"Кам'янець-Подільський",21
471,"Красилів",21
472,"Летичів",21
473,"Нетішин",21
474,"Нова Ушиця",21
475,"Полонне",21
476,"Славута",21
477,"Стара Синява",21
478,"Староконстантинів",21
479,"Теофіполь",21
480,"Хмельницький",21
481,"Чемерівці",21
482,"Шепетівка",21
483,"Ярмолинці",21
484,"Ватутіне",22
485,"Городище",22
486,"Драбів",22
487,"Жашків",22
488,"Звенигородка",22
489,"Золотоноша",22
490,"Каменка",22
491,"Канів",22
492,"Катеринопіль",22
493,"Корсунь-Шевченківський",22
494,"Лисянка",22
495,"Маньківка",22
496,"Монастирище",22
497,"Сміла",22
498,"Тальне",22
499,"Умань",22
500,"Христинівка",22
501,"Черкаси",22
502,"Чигирин",22
503,"Чорнобай",22
504,"Шпола",22
505,"Вижниця",23
506,"Герца",23
507,"Глибока",23
508,"Заставна",23
509,"Кіцмань",23
510,"Кельменці",23
511,"Новодністровськ",23
512,"Новоселиця",23
513,"Путила",23
514,"Сокиряни",23
515,"Сторожинець",23
516,"Хотин",23
517,"Чернівці",23
518,"Бахмач",24
519,"Бобровиця",24
520,"Борзна",24
521,"Варва",24
