entity_id,alias
1,flats
2,houses
3,offices
4,commercial
5,areas
6,garages
1,Квартиры
2,Дома
3,Офисы
4,Коммерческая
5,Участки
6,Гаражи
1,Квартири
2,Будинки
3,Офіси
4,Комерційні
5,Ділянки
6,Гаражі
