"alias","entity_id"
"Зіньків",342
"Карлівка",343
"Кобеляки",344
"Козельщина",345
"Котельва",346
"Кременчук",347
"Лохвиця",348
"Лубни",349
"Машівка",350
"Миргород",351
"Нові Санжари",352
"Оржиця",353
"Пирятин",354
"Полтава",355
"Решетилівка",356
"Семенівка",357
"Хорол",358
"Чорнухи",359
"Чутове",360
"Шишаки",361
"Березне",362
"Вараш",363
"Володимирець",364
"Гоща",365
"Демидівка",366
"Дубно",367
"Дубровиця",368
"Зарічне",369
"Здолбунів",370
"Корець",371
"Костопіль",372
"Млинів",373
"Острог",374
"Рівне",375
"Радивилів",376
"Рокитне",377
"Сарни",378
"Білопілля",379
"Буринь",380
"Велика Писарівка",381
"Глухів",382
"Конотоп",383
"Краснопілля",384
"Кролевець",385
"Лебедин",386
"Липова Долина",387
"Недригайлів",388
"Охтирка",389
"Путивль",390
"Ромни",391
"Середина-Буда",392
"Суми",393
"Тростянець",394
"Шостка",395
"Ямпіль",396
"Бережани",397
"Борщів",398
"Бучач",399
"Гусятин",400
"Заліщики",401
"Збараж",402
"Зборів",403
"Козова",404
"Кременець",405
"Лановці",406
"Монастириська",407
"Підволочиськ",408
"Підгайці",409
"Теребовля",410
"Тернопіль",411
"Чортків",412
"Шумське",413
"Ізюм",414
"Балаклія",415
"Барвінкове",416
"Близнюки",417
"Богодухів",418
"Борова",419
"Валки",420
"Великий Бурлук",421
"Волчанськ",422
"Дворічанське",423
"Дергачі",424
"Зачепилівка",425
"Зміїв",426
"Золочів",427
"Кегичівка",428
"Коломак",429
"Красноград",430
"Краснокутськ",431
"Куп'янськ",432
"Лозова",433
"Люботин",434
"Нова Водолага",435
"Первомайський",436
"Печеніги",437
"Сахновщина",438
"Харків",439
"Чугуїв",440
"Шевченкове",441
"Іванівка",442
"Білозерка",443
"Берислав",444
"Велика Лепетиха",445
"Великая Александровка",446
"Верхний Рогачик",447
"Високопілля",448
"Генічеськ",449
"Гола Пристань",450
"Горностаївка",451
"Залізний Порт",452
"Каланчак",453
"Каховка",454
"Нижні Сірогози",455
"Нова Каховка",456
"Нововоронцовка",457
"Новотроїцьке",458
"Олешки",459
"Скадовськ",460
"Херсон",461
"Чаплинка",462
"Ізяслав",463
"Білогір'я",464
"Віньківці",465
"Волочиськ",466
"Городок",467
"Деражня",468
"Дунаєвці",469
"Кам'янець-Подільський",470
"Красилів",471
"Летичів",472
"Нетішин",473
"Нова Ушиця",474
"Полонне",475
"Славута",476
"Стара Синява",477
"Староконстантинів",478
"Теофіполь",479
"Хмельницький",480
"Чемерівці",481
"Шепетівка",482
"Ярмолинці",483
"Ватутіне",484
"Городище",485
"Драбів",486
"Жашків",487
"Звенигородка",488
"Золотоноша",489
"Каменка",490
"Канів",491
"Катеринопіль",492
"Корсунь-Шевченківський",493
"Лисянка",494
"Маньківка",495
"Монастирище",496
"Сміла",497
"Тальне",498
"Умань",499
"Христинівка",500
"Черкаси",501
"Чигирин",502
"Чорнобай",503
"Шпола",504
"Вижниця",505
"Герца",506
"Глибока",507
"Заставна",508
"Кіцмань",509
"Кельменці",510
"Новодністровськ",511
"Новоселиця",512
"Путила",513
"Сокиряни",514
"Сторожинець",515
"Хотин",516
"Чернівці",517
"Бахмач",518
"Бобровиця",519
"Борзна",520
"Варва",521
"Городня",522
"Ичня",523
"Козелець",524
"Короп",525
"Корюківка",526
"Куликівка",527
"Мена",528
"Ніжин",529
"Новгород-Сіверський",530
"Носівка",531
"Прилуки",532
"Ріпки",533
"Семенівка",534
"Сосниця",535
"Срібне",536
"Талалаївка",537
"Чернігів",538
"Щорс",539
